id,name,brand,category,color,price,currency,gender,image_url,affiliate_url,size_range,style
snitch-linen-resort-shirt,Relaxed Linen Resort Shirt,Snitch,tops,sand,2499,INR,men,https://images.pexels.com/photos/7671166/pexels-photo-7671166.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.snitch.co.in/search?q=Relaxed+Linen+Resort+Shirt,S|M|L|XL,casual|summer
snitch-cuban-collar-shirt,Cuban Collar Printed Shirt,Snitch,tops,olive,1899,INR,men,https://images.pexels.com/photos/7671168/pexels-photo-7671168.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.snitch.co.in/search?q=Cuban+Collar+Printed+Shirt,S|M|L|XL,casual
snitch-oversized-tee-black,Oversized Heavyweight Tee,Snitch,tops,black,999,INR,men,https://images.pexels.com/photos/7679720/pexels-photo-7679720.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.snitch.co.in/search?q=Oversized+Heavyweight+Tee,S|M|L|XL,street|casual
snitch-wide-leg-trouser,Wide Leg Pleated Trouser,Snitch,bottoms,charcoal,2799,INR,men,https://images.pexels.com/photos/9856354/pexels-photo-9856354.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.snitch.co.in/search?q=Wide+Leg+Pleated+Trouser,S|M|L|XL,smart-casual
snitch-cargo-utility-pant,Utility Cargo Pant,Snitch,bottoms,khaki,2499,INR,men,https://images.pexels.com/photos/9856353/pexels-photo-9856353.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.snitch.co.in/search?q=Utility+Cargo+Pant,S|M|L|XL,street
snitch-cropped-blazer,Cropped Structured Blazer,Snitch,outerwear,black,3499,INR,men,https://images.pexels.com/photos/9856351/pexels-photo-9856351.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.snitch.co.in/search?q=Cropped+Structured+Blazer,S|M|L|XL,smart-casual
snitch-denim-truck-jacket,Washed Denim Trucker,Snitch,outerwear,indigo,2999,INR,men,https://images.pexels.com/photos/6311392/pexels-photo-6311392.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.snitch.co.in/search?q=Washed+Denim+Trucker,S|M|L|XL,casual
snitch-chunky-sneaker,Chunky Sole Sneaker,Snitch,shoes,white,3299,INR,men,https://images.pexels.com/photos/6311576/pexels-photo-6311576.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.snitch.co.in/search?q=Chunky+Sole+Sneaker,S|M|L|XL,street
snitch-leather-loafers,Penny Loafers,Snitch,shoes,brown,3999,INR,men,https://images.pexels.com/photos/6311395/pexels-photo-6311395.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.snitch.co.in/search?q=Penny+Loafers,S|M|L|XL,smart-casual
snitch-sling-bag,Nylon Sling Bag,Snitch,bags,black,1499,INR,men,https://images.pexels.com/photos/5709661/pexels-photo-5709661.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.snitch.co.in/search?q=Nylon+Sling+Bag,S|M|L|XL,casual
snitch-polo-knit,Textured Knit Polo,Snitch,tops,navy,1799,INR,men,https://images.pexels.com/photos/5709665/pexels-photo-5709665.jpeg?auto=compress&cs=tinysrgb&w=1200,https://www.snitch.co.in/search?q=Textured+Knit+Polo,S|M|L|XL,smart-casual
